name_wals	base	cm	NNum	align_direction	base_initial	base_final	base_absent	cm_initial	cm_final	cm_absent	Nnum_initial	Nnum_final	base_wals	cm_wals	NNum_wals	longitude_wals	latitude_wals	family_wals	Continent	iso_code	wals_code	glottocode
Epena Pedee	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	2 Noun-Numeral	-77	3	Choco	Americas	sja	epe	epen1239
Chukchi	final	Absent	final	final	0	1	0	0	0	1	0	1	3 Pure vigesimal	Absent	1 Numeral-Noun	-173	67	Chukotko-Kamchatkan	Asia	ckt	chk	chuk1273
Chumash (Barbare_o)	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-120.25	34.5	Chumash	Americas	boi	cba	barb1263
Chumash (Ineseno)	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-120.25	34.66666667	Chumash	Americas	inz	cin	ines1240
Brahui	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent		67	28.5	Dravidian	Asia	brh	brh	brah1256
Kannada	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	76	14	Dravidian	Asia	kan	knd	nucl1305
Kota	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		77.16666667	11.5	Dravidian	Asia	kfe	kot	kota1263
Malayalam	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	76.5	10	Dravidian	Asia	mal	mym	mala1464
Nasioi	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	155.5833333	-6.333333333	East Bougainville	Pacific	nas	nas	naas1242
Toba	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	-59	-26.5	Guaicuruan	Americas	tob	tob	toba1269
Haida	initial	initial	initial	initial	1	0	0	1	0	0	1	0	1 Decimal	Optional	2 Noun-Numeral	-132	53	Haida	Americas	hdn	hai	haid1248
Amarakaeri	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	-70.5	-12.5	Harakmbet	Americas	amr	amk	amar1274
Hmong Daw	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		105	26	Hmong-Mien	Asia	mww	hmd	hmon1333
Chimariko	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	2 Noun-Numeral	-123	41	Hokan	Americas	cid	chi	chim1301
Maricopa	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-113.1666667	33.16666667	Hokan	Americas	mrc	mar	mari1440
Shasta	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-122.6666667	41.83333333	Hokan	Americas	sht	shs	shas1239
Bora	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Optional		-72.33333333	-2.166666667	Huitotoan	Americas	boa	bor	bora1263
Ocaina	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Optional		-71.75	-2.75	Huitotoan	Americas	oca	oca	ocai1244
Albanian	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	20	41	Indo-European	Europe	aln	alb	gheg1238
Armenian (Eastern)	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Optional	1 Numeral-Noun	45	40	Indo-European	Asia	hye	arm	nucl1235
Armenian (Iranian)	final	final	final	final	0	1	0	0	1	0	0	1		Absent		51.66666667	32.66666667	Indo-European	Asia		arz	nucl1235
Assamese	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	3 No dominant order	93	26	Indo-European	Asia	asm	ass	assa1263
Bengali	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		90	24	Indo-European	Asia	ben	ben	beng1280
Bulgarian	final	final	final	final	0	1	0	0	1	0	0	1		Absent	1 Numeral-Noun	25	42.5	Indo-European	Europe	bul	bul	bulg1262
English	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	0	52	Indo-European	Americas	eng	eng	stan1293
French	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	2	48	Indo-European	Europe	fra	fre	stan1290
German	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	10	52	Indo-European	Europe	deu	ger	stan1295
Gilaki	final	final	final	final	0	1	0	0	1	0	0	1		Optional		50	37.33333333	Indo-European	Asia	glk	gil	gila1241
Hindi	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	77	25	Indo-European	Asia	hin	hin	hind1269
Latvian	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	24	57	Indo-European	Europe	lav	lat	latv1249
Luri	final	final	final	final	0	1	0	0	1	0	0	1		Optional		48.5	33.5	Indo-European	Asia	lrc	lur	nort2645
Marathi	final	final	final	final	0	1	0	0	1	0	0	1		Absent	1 Numeral-Noun	76	19	Indo-European	Asia	mar	mhi	mara1378
Mazanderani	final	final	final	final	0	1	0	0	1	0	0	1		Optional		52	36.5	Indo-European	Asia	mzn	mzn	maza1291
Persian	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Optional	1 Numeral-Noun	54	32	Indo-European	Asia	pes	prs	west2369
Romani (Sepecides)	final	final	final	final	0	1	0	0	1	0	0	1		Optional		27	38.25	Indo-European	Europe		rse	
Russian	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	38	56	Indo-European	Europe	rus	rus	russ1263
Sinhala	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	3 No dominant order	80.5	7	Indo-European	Asia	sin	snh	sinh1246
Tati (Southern)	final	final	final	final	0	1	0	0	1	0	0	1		Optional		49.66666667	36	Indo-European	Asia	tks	tts	take1255
Vafsi	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	49.91666667	34.66666667	Indo-European	Asia	vaf	vaf	vafs1240
Waigali	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		71.25	35	Indo-European	Asia	wbk	wgl	waig1243
Seneca	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-77.5	42.5	Iroquoian	Americas	see	snc	sene1264
Japanese	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Obligatory	1 Numeral-Noun	140	37	Japanese	Asia	jpn	jpn	nucl1643
Jivaro	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	-78	-2.5	Jivaroan	Americas	jiv	jiv	shua1257
Kalapuya	final	Absent	final	final	0	1	0	0	0	1	0	1		Obligatory		-123	44.5	Kalapuyan	Americas	kyl	klp	kala1400
Karok	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-123	41.66666667	Karok	Americas	kyh	krk	karo1304
Georgian	final	Absent	final	final	0	1	0	0	0	1	0	1	2 Hybrid vigesimal-decimal	Absent	1 Numeral-Noun	44	42	Kartvelian	Asia	kat	geo	nucl1302
Acoma	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	3 No dominant order	-107.5833333	34.91666667	Keresan	Americas	kjq	aco	west2632
/Xam	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	2 Noun-Numeral	21	-31	Khoisan	Africa	xam	xam	xamm1241
Ju|'hoan	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	2 Noun-Numeral	21	-19	Khoisan	Africa	ktz	juh	juho1239
Khoekhoe	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	18	-25.5	Khoisan	Africa	naq	kho	nama1264
Sandawe	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	35	-5	Khoisan	Africa	sad	sdw	sand1273
Xoo	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0	6 Restricted	Absent		21.5	-24	Khoisan	Africa	nmn	xoo	xooo1239
Kiowa	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-99	37	Kiowa-Tanoan	Americas	kio	kio	kiow1266
Kiwai	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	143.5	-8	Kiwaian	Pacific	kiw	kiw	nort2930
Korean	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Obligatory	1 Numeral-Noun	128	37.5	Korean	Asia	kor	kor	kore1280
Kutenai	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-116	49.5	Kutenai	Americas	kut	kut	kute1249
Kwaza	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Obligatory		-60.66666667	-12.58333333	Kwaza	Americas	xwa	kwz	kwaz1243
Yimas	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	3 Pure vigesimal	Absent		143.55	-4.666666667	Lower Sepik-Ramu	Pacific	yee	yim	yima1243
Canela-Krah_	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-46	-6	Macro-Ge	Americas	ram	ckr	cane1242
Maku	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-69.83333333	0.416666667	Maku	Americas		mkw	maku1246
Jakaltek	final	final	final	final	0	1	0	0	1	0	0	1	2 Hybrid vigesimal-decimal	Obligatory	1 Numeral-Noun	-91.66666667	15.66666667	Mayan	Americas	jac	jak	popt1235
Tzeltal	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		-92.25	16.83333333	Mayan	Americas	tzb	tze	tzel1253
Yucatec	final	final	final	final	0	1	0	0	1	0	0	1	3 Pure vigesimal	Obligatory		-89	20	Mayan	Americas	yua	yct	yuca1254
Miskito	initial	Absent	final	violation	1	0	0	0	0	1	0	1		Absent	1 Numeral-Noun	-83.66666667	14	Misumalpan	Americas	miq	mis	misk1235
Moset_n	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-67.83333333	-14.75	Mosetenan	Americas	cas	mos	mose1249
Piraha	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0	6 Restricted	Absent	2 Noun-Numeral	-62	-7	Mura	Americas	myp	prh	pira1253
Choctaw	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-88.5	32.25	Muskogean	Americas	cho	cct	choc1276
Carrier	final	Absent	final	final	0	1	0	0	0	1	0	1		Obligatory		-123.5	53.75	Na-Dene	Americas	crx	crq	carr1249
Eyak	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		-145	60.5	Na-Dene	Americas	eya	eya	eyak1241
Navajo	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-108	36.16666667	Na-Dene	Americas	nav	nav	nava1243
Tlingit	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Obligatory	1 Numeral-Noun	-135	59	Na-Dene	Americas	tli	tli	tlin1245
Hup	Absent	Absent	final	final	0	0	1	0	0	1	0	1	6 Restricted	Absent	1 Numeral-Noun	-69.25	0.166666667	Nadahup	Americas	jup	hpd	hupd1244
Nahali	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		77.83333333	19.75	Nahali	Asia	nll	nah	niha1238
Avar	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	46.5	42.5	Nakh-Daghestanian	Europe	ava	ava	avar1256
Bagvalal	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		46.16666667	42.58333333	Nakh-Daghestanian	Europe	kva	bgv	bagv1239
Chechen	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	45.83333333	43.25	Nakh-Daghestanian	Europe	che	chc	chec1245
Dargwa	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	47.41666667	42.25	Nakh-Daghestanian	Europe	dar	drg	darg1241
Hunzib	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	46.25	42.16666667	Nakh-Daghestanian	Europe	huz	hzb	hunz1247
Ingush	final	Absent	final	final	0	1	0	0	0	1	0	1	2 Hybrid vigesimal-decimal	Absent	1 Numeral-Noun	45.08333333	43.16666667	Nakh-Daghestanian	Europe	inh	ing	ingu1240
Lezgian	final	Absent	final	final	0	1	0	0	0	1	0	1	2 Hybrid vigesimal-decimal	Absent	1 Numeral-Noun	47.83333333	41.66666667	Nakh-Daghestanian	Europe	lez	lez	lezg1247
Boko	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory	2 Noun-Numeral	3.5	10.5	Niger-Congo	Africa	bqc	bok	boko1266
Dagaare	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-2.666666667	10.5	Niger-Congo	Africa	dga	dga	sout2789
Fula (Mauritanian)	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		-13.75	16.5	Niger-Congo	Africa	fuc	fma	pula1263
Gbeya Bossangoa	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	17.5	6.666666667	Niger-Congo	Africa	gbp	gbb	gbay1287
Igbo	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	3 Pure vigesimal	Absent	2 Noun-Numeral	7.333333333	6	Niger-Congo	Africa	ibo	igb	nucl1417
Kana	final	final	final	final	0	1	0	0	1	0	0	1	3 Pure vigesimal	Obligatory	1 Numeral-Noun	7.416666667	4.75	Niger-Congo	Africa	ogo	kan	khan1278
Koromfe	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	-0.916666667	14.25	Niger-Congo	Africa	kfz	kfe	koro1298
Kpelle	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-10	7	Niger-Congo	Africa	xpe	kpe	libe1247
Lucazi	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		20	-14	Niger-Congo	Africa	lch	luc	luch1239
Luganda	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	32.16666667	0.5	Niger-Congo	Africa	lug	lda	gand1255
Mandinka	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		-15.66666667	13	Niger-Congo	Africa	mnk	mdk	mand1436
Mende	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-11.5	7.833333333	Niger-Congo	Africa	men	mde	mend1266
Mituku	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		25.5	-1.666666667	Niger-Congo	Africa	zmq	mit	mitu1240
Orig	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	30.83333333	12.16666667	Niger-Congo	Africa	ras	ori	tega1236
Runyoro-Rutooro	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		31.33333333	1.5	Niger-Congo	Africa	nyo	rru	nyor1246
Sesotho	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		27	-28	Niger-Congo	Africa	sot	ses	sout2807
Supyire	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	4 Other base	Absent	2 Noun-Numeral	-5.583333333	11.5	Niger-Congo	Africa	spp	sup	supy1237
Swahili	final	Absent	initial	violation	0	1	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	39	-6.5	Niger-Congo	Africa	swh	swa	swah1253
Swati	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	3 No dominant order	31	-26.5	Niger-Congo	Africa	ssw	swt	swat1243
Toussian (Win)	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory		-4.666666667	10.83333333	Niger-Congo	Africa	wib	tow	sout2797
Tunen	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	10.66666667	4.75	Niger-Congo	Africa	baz	tnn	tune1241
Yoruba	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	3 Pure vigesimal	Absent	2 Noun-Numeral	4.333333333	8	Niger-Congo	Africa	yor	yor	yoru1245
Zulu	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent		30	-30	Niger-Congo	Africa	zul	zul	zulu1248
Datooga	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		35.33333333	-4.333333333	Nilo-Saharan	Africa	tcc	dat	dato1239
Fur	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	25	13.5	Nilo-Saharan	Africa	fvr	fur	furr1244
Kanuri	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	13	12	Nilo-Saharan	Africa	knc	knr	cent2050
Koyra Chiini	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-3	17	Nilo-Saharan	Africa	khq	kch	koyr1240
Lango	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	33	2.166666667	Nilo-Saharan	Africa	laj	lan	lang1324
Lugbara	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	30.91666667	3.083333333	Nilo-Saharan	Africa	lgg	lug	lugb1240
Luo	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	34.75	-0.5	Nilo-Saharan	Africa	luo	luo	luok1236
Maasai	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	36	-3	Nilo-Saharan	Africa	mas	maa	masa1300
Me'en	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	37	5	Nilo-Saharan	Africa	mym	mee	meen1242
Nara (in Ethiopia)	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		37.58333333	15.08333333	Nilo-Saharan	Africa	nrb	nar	nara1262
Nubian (Dongolese)	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	30.75	18.25	Nilo-Saharan	Africa	kzh	nbd	kenu1236
So	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Obligatory	2 Noun-Numeral	34.75	2.583333333	Nilo-Saharan	Africa	teu	so	sooo1256
Nivkh	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Obligatory	3 No dominant order	142	53.33333333	Nivkh	Asia	niv	niv	gily1242
Nivkh (South Sakhalin)	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		142.5	47	Nivkh	Asia	niv	nvs	gily1242
Abkhaz	final	Absent	final	final	0	1	0	0	0	1	0	1	2 Hybrid vigesimal-decimal	Absent	3 No dominant order	41	43.08333333	Northwest Caucasian	Asia	abk	abk	abkh1244
Coos (Hanis)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-124.1666667	43.5	Oregon Coast	Americas	csz	coo	coos1249
Siuslaw	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-124	44	Oregon Coast	Americas	sis	siu	sius1254
Ndyuka	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-54.5	4.5	other	Americas	djk	ndy	ndyu1242
Russian-Chinese Pidgin (Birobidjan)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		132.95	48.8	other	Asia		rcp	
Chichimeca-Jonaz	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-100.5	21.66666667	Oto-Manguean	Americas	pei	cjo	chic1272
Mixtec (Chalcatongo)	final	Absent	final	final	0	1	0	0	0	1	0	1	2 Hybrid vigesimal-decimal	Absent	1 Numeral-Noun	-97.58333333	17.05	Oto-Manguean	Americas	mig	mxc	sanm1295
Capanahua	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-74	-7	Panoan	Americas	kaq	cap	capa1241
Shipibo-Konibo	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	-75	-7.5	Panoan	Americas	shp	shk	ship1254
Yagua	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Obligatory	1 Numeral-Noun	-72	-3.5	Peba-Yaguan	Americas	yad	yag	yagu1244
Chinook (Upper)	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-122.5	45.5	Penutian	Americas	wac	cku	wasc1239
Klamath	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-121.5	42.5	Penutian	Americas	kla	klm	klam1254
Maidu (Northeast)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-120.6666667	40	Penutian	Americas	nmu	mne	nort2952
Miwok (Southern Sierra)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-120	37.5	Penutian	Americas	skd	mss	sout2985
Molala	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-122.5	44.5	Penutian	Americas	mbe	mll	mola1238
Tsimshian (Coast)	final	Absent	final	final	0	1	0	0	0	1	0	1		Obligatory	1 Numeral-Noun	-129	52.5	Penutian	Americas	tsi	tsi	nucl1649
Wintu	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent		-122.5	41	Penutian	Americas	wit	win	wint1259
Yawelmani	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-119	35.41666667	Penutian	Americas	yok	ywl	yoku1256
Quechua (Cuzco)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		-71	-14.5	Quechuan	Americas	quz	qcu	cusc1236
Quechua (Huallaga)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	-75.5	-9.5	Quechuan	Americas	qvh	qhu	huam1248
Quechua (Imbabura)	final	Absent	final	final	0	1	0	0	0	1	0	1	1 Decimal	Absent	1 Numeral-Noun	-78	0.333333333	Quechuan	Americas	qvi	qim	imba1240
Piaroa	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Optional	2 Noun-Numeral	-67	5	Saliban	Americas	pid	pia	piar1243
Salinan	Absent	Absent	final	final	0	0	1	0	0	1	0	1		Absent	1 Numeral-Noun	-121	36	Salinan	Americas	sln	sal	sali1253
Thompson	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	-121.75	49.75	Salishan	Americas	thp	tho	thom1243
Sentani	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	140.5833333	-2.583333333	Sentani	Asia	set	snt	nucl1632
Alamblak	final	Absent	final	final	0	1	0	0	0	1	0	1	3 Pure vigesimal	Absent	1 Numeral-Noun	143.3333333	-4.666666667	Sepik	Pacific	amp	ala	alam1246
Ambulas	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	143	-3.833333333	Sepik	Pacific	abt	amb	ambu1247
Awtuw	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	142	-3.583333333	Sepik	Pacific	kmn	awt	awtu1239
Yessan-Mayo	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent		142.5833333	-4.166666667	Sepik	Pacific	yss	yes	yess1239
Athpare	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	87.33333333	27	Sino-Tibetan	Asia	aph	ath	athp1241
Baragaunle	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	83.83333333	28.83333333	Sino-Tibetan	Asia	loy	brl	lowa1242
Belhare	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	87.3	26.96666667	Sino-Tibetan	Asia	byw	bel	belh1239
Burmese	final	final	initial	violation	0	1	0	0	1	0	1	0	1 Decimal	Obligatory	2 Noun-Numeral	96	21	Sino-Tibetan	Asia	mya	brm	nucl1310
Cantonese	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	113	23	Sino-Tibetan	Asia	yue	cnt	yuec1235
Chantyal	final	final	final	final	0	1	0	0	1	0	0	1		Optional	1 Numeral-Noun	83.41666667	28.58333333	Sino-Tibetan	Asia	chx	chn	chan1310
Chepang	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	84.75	27.66666667	Sino-Tibetan	Asia	cdm	cpn	chep1245
Garo	initial	initial	initial	initial	1	0	0	1	0	0	1	0	1 Decimal	Obligatory	2 Noun-Numeral	90.5	25.66666667	Sino-Tibetan	Asia	grt	gar	garo1247
Hokkien	final	final	final	final	0	1	0	0	1	0	0	1		Optional		118	25	Sino-Tibetan	Asia	nan	hok	minn1241
Hyow	final	initial	initial	violation	0	1	0	1	0	0	1	0		Obligatory		92.41666667	22.08333333	Sino-Tibetan	Asia	csh	hyo	asho1236
Kayah Li (Eastern)	final	final	initial	violation	0	1	0	0	1	0	1	0	1 Decimal	Obligatory	2 Noun-Numeral	97.5	19	Sino-Tibetan	Asia	eky	kyl	east2342
Kham	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	82.75	28.5	Sino-Tibetan	Asia	kgj	kmh	gama1251
Khumi	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory		92.41666667	21.91666667	Sino-Tibetan	Asia	cnk	khu	khum1248
Lahu	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory	2 Noun-Numeral	98.16666667	20	Sino-Tibetan	Asia	lhu	lah	lahu1253
Lai	initial	initial	initial	initial	1	0	0	1	0	0	1	0		Obligatory	2 Noun-Numeral	93.66666667	22.66666667	Sino-Tibetan	Asia	cnh	lai	haka1240
Limbu	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent	1 Numeral-Noun	87.75	27.16666667	Sino-Tibetan	Asia	lif	lim	limb1266
Magar (Syangja)	final	Absent	final	final	0	1	0	0	0	1	0	1		Absent		83.83333333	28.08333333	Sino-Tibetan	Asia	mrd	msy	west2418
Mandarin	final	final	final	final	0	1	0	0	1	0	0	1	1 Decimal	Obligatory	1 Numeral-Noun	110	34	Sino-Tibetan	Asia	cmn	mnd	mand1415
Newari (Kathmandu)	final	final	initial	violation	0	1	0	0	1	0	1	0		Obligatory	2 Noun-Numeral	85.5	27.66666667	Sino-Tibetan	Asia	new	new	newa1246
Lakhota	initial	Absent	initial	initial	1	0	0	0	0	1	1	0	1 Decimal	Absent	2 Noun-Numeral	-101.8333333	43.83333333	Siouan	Americas	lkt	lkt	lako1247
Mandan	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	-102.5	46.5	Siouan	Americas	mhq	mdn	mand1446
Dumo	Absent	Absent	initial	initial	0	0	1	0	0	1	1	0		Absent	2 Noun-Numeral	141.3	-2.683333333	Skou	Pacific	vam	dum	vani1248
Sulka	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent	2 Noun-Numeral	151.9166667	-5.083333333	Sulka	Pacific	sua	sul	sulk1246
Lachi	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		104.8333333	22.66666667	Tai-Kadai	Asia	lbt	lch	lach1248
Thai	final	final	initial	violation	0	1	0	0	1	0	1	0	1 Decimal	Obligatory	2 Noun-Numeral	101	16	Tai-Kadai	Asia	tha	tha	thai1261
Takelma	final	Absent	initial	violation	0	1	0	0	0	1	1	0		Absent	2 Noun-Numeral	-123	42.5	Takelma	Americas	tkm	tkl	take1257
Purepecha	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory	1 Numeral-Noun	-101.6666667	19.5	Tarascan	Americas	tsz	pur	pure1242
Chontal (Huamelultec Oaxaca)	final	final	final	final	0	1	0	0	1	0	0	1		Obligatory		-95.75	16	Tequistlatecan	Americas	clo	chx	lowl1260
Tol	initial	Absent	initial	initial	1	0	0	0	0	1	1	0		Absent		-87	14.66666667	Tol	Americas	jic	tol	toll1241
